subject,phase,trial,click_idx,click_time_s,matched_tap_time_s,matched_tap_idx,asynchrony_s,rms_db,asynchrony_ms,missed_beat,accented,condition,meter,bpm,switch_time,low_confidence_trial
sub04,test,15,19,11.186958333333333,11.124625,19.0,-0.06233333333333313,33.990319710985204,-62.33333333333313,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,20,11.763875,11.701,20.0,-0.06287500000000001,52.06374560928709,-62.875000000000014,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,21,12.340791666666666,12.3030625,21.0,-0.037729166666666814,37.73885695436966,-37.72916666666681,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,22,12.917708333333334,12.844645833333333,22.0,-0.0730625000000007,39.44785017072882,-73.0625000000007,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,23,13.494625,13.437229166666667,23.0,-0.057395833333332646,52.35102409181312,-57.39583333333265,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,24,14.071541666666667,14.014229166666667,24.0,-0.0573125000000001,36.706099968297195,-57.3125000000001,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,25,14.648458333333334,14.578041666666667,25.0,-0.07041666666666657,39.33793659102855,-70.41666666666657,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,26,15.225375,15.172979166666666,26.0,-0.05239583333333364,54.230618436357865,-52.39583333333364,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,27,15.802291666666667,15.768791666666667,27.0,-0.033500000000000085,35.143925011599116,-33.500000000000085,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,28,16.379208333333334,16.3681875,28.0,-0.011020833333333258,38.887634432257705,-11.020833333333258,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,29,16.956125,16.884666666666668,29.0,-0.07145833333333229,53.08924892544076,-71.45833333333229,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,30,17.533041666666666,17.468916666666665,30.0,-0.06412500000000065,31.827705928160114,-64.12500000000065,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,31,18.109958333333335,18.066104166666666,31.0,-0.043854166666669414,39.41000424773681,-43.854166666669414,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,32,18.686875,18.611125,32.0,-0.07574999999999932,51.62611180018913,-75.74999999999932,False,1.0,spontaneous,2,104.0,0,True
